Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
mobileTS,,,,18-03-2025 22:57:35,18-03-2025 22:58:14,38.950s,FAILED
,,,,,,,
Test Cases/mobileTC,,,,18-03-2025 22:57:35,18-03-2025 22:58:14,38.723s,FAILED
Start listener action : sampleBeforeTestCase,,,,18-03-2025 22:57:35,18-03-2025 22:57:35,0.023s,PASSED
Start listener action : sampleBeforeTestCase,,,,18-03-2025 22:57:35,18-03-2025 22:57:35,0.001s,PASSED
appPath = app)).getCanonicalPath(),,,,18-03-2025 22:57:36,18-03-2025 22:57:36,0.002s,PASSED
println(appPath),,,,18-03-2025 22:57:36,18-03-2025 22:57:36,0.003s,PASSED
"startApplication(appPath, false)",,,,18-03-2025 22:57:36,18-03-2025 22:58:13,37.458s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/XCUIElementTypeStaticText - Continue as a Guest""), 0)",,,,18-03-2025 22:58:13,18-03-2025 22:58:14,1.075s,FAILED
